DateTime,Buyopen,Buyhigh,Buylow,Buyclose
2016-12-28 02:20:00,1.04669,1.04675,1.04659,1.04664
2016-12-28 02:25:00,1.04666,1.047,1.04664,1.04684
2016-12-28 02:30:00,1.04681,1.04719,1.04678,1.04716
2016-12-28 02:35:00,1.04715,1.04715,1.0468,1.04684
2016-12-28 02:40:00,1.04683,1.04707,1.04668,1.04688
2016-12-28 02:45:00,1.04689,1.047,1.04671,1.04671
2016-12-28 02:50:00,1.04673,1.04673,1.04649,1.04652
2016-12-28 02:55:00,1.0465,1.04674,1.04641,1.04665
2016-12-28 03:00:00,1.04664,1.04668,1.04583,1.04609
2016-12-28 03:05:00,1.04608,1.0462,1.04566,1.04585
2016-12-28 03:10:00,1.04584,1.04585,1.04535,1.04555
2016-12-28 03:15:00,1.04553,1.04555,1.04513,1.04527
2016-12-28 03:20:00,1.04525,1.04529,1.04496,1.04527
2016-12-28 03:25:00,1.04527,1.04529,1.04517,1.04526
2016-12-28 03:30:00,1.04526,1.04533,1.04506,1.04523
2016-12-28 03:35:00,1.04521,1.04542,1.04515,1.04515
2016-12-28 03:40:00,1.04513,1.04518,1.04498,1.045
2016-12-28 03:45:00,1.04498,1.045,1.04438,1.0446
2016-12-28 03:50:00,1.04462,1.04468,1.04433,1.0444
2016-12-28 03:55:00,1.0444,1.04442,1.04409,1.04417
2016-12-28 04:00:00,1.04416,1.04437,1.04402,1.04435
2016-12-28 04:05:00,1.04437,1.04445,1.04407,1.0442
2016-12-28 04:10:00,1.04423,1.04461,1.04423,1.04446
2016-12-28 04:15:00,1.04444,1.0445,1.0442,1.04429
2016-12-28 04:20:00,1.04431,1.04433,1.04344,1.04348
2016-12-28 04:25:00,1.04346,1.04392,1.0434,1.04382
2016-12-28 04:30:00,1.04381,1.04392,1.0437,1.04387
2016-12-28 04:35:00,1.04389,1.04394,1.04371,1.04371
2016-12-28 04:40:00,1.04373,1.04387,1.04359,1.04379
2016-12-28 04:45:00,1.0438,1.04385,1.04342,1.04351
2016-12-28 04:50:00,1.04352,1.04369,1.04346,1.04347
2016-12-28 04:55:00,1.0435,1.04399,1.0435,1.04396
